date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20110728,-0.980745655,0,-1.589834681,-0.883766585,-1.097030098,-2.030866796,-0.797540344
20110729,-0.159446039,1,-0.507532674,1.204659418,-0.348733227,-0.323396681,-0.084171931
20110801,0.829989055,0,-0.791415414,-0.048298384,0.752664885,-0.645053297,-0.153755354
20110802,-0.427784223,0,-0.088526619,-1.761993875,-0.931658334,-0.413229941,-0.510840264
20110803,-0.999715938,1,-2.191389442,-0.774076002,-1.41773619,-2.555666426,-0.751741909
20110804,0.140615749,0,0.251295733,-0.954010961,0.501812299,0.501568259,0.175689273
20110805,-2.390374733,1,-4.310203065,-4.314177741,-1.967242956,-4.782044657,-2.37559743
20110808,-2.444710962,1,0.535245735,-3.190412529,-1.400125191,-0.057491732,-1.033117362
20110809,-3.333007717,1,-5.546372664,-1.741654572,-2.041863684,-6.66344642,-2.326403581
20110810,2.438471471,0,3.977112869,3.022300235,1.859572522,4.740684781,1.437925197
20110811,-0.639410967,1,-4.624908888,-4.875565181,-1.794500017,-4.415240354,-1.581651899
20110812,1.09180079,0,3.949360939,0.759167918,0.915498078,4.629002154,0.460465849
20110816,1.040814516,0,1.897954471,0.574244882,0.535408518,2.178462154,0.041266803
20110817,-0.109217999,1,-0.67030713,0.131761417,-0.653752398,-0.973854503,-0.16122739
20110818,0.422220464,0,0.037526709,-0.485849153,-0.155456268,0.094738673,0.028025023
20110819,-1.716169615,0,-3.6776701,-4.489646635,-1.92379464,-4.459371494,-1.556059421
20110822,-0.040242279,1,-1.573435512,-1.010755602,-0.370790082,-1.500898141,0.008371272
20110823,0.537886829,1,0.342033609,1.081979701,0.871332351,0.025804117,0.358283256
20110824,-0.294004728,0,2.967478163,0.669636724,0.906335755,3.428487823,0.328574136
20110825,0.526703348,0,1.28794206,1.490032011,1.254679431,1.311997274,0.209006126
20110826,-0.007232003,0,-1.50953121,-1.43588463,-0.291721042,-1.556552002,-0.499108046
20110829,1.230043389,1,1.208268172,0,0.050805167,1.512160989,-0.640150099
20110830,1.090535816,1,2.257158547,-0.022997018,1.210554274,2.828000137,0.62815385
20110902,2.175564887,0,-1.032932771,0.447119582,-0.88557563,-1.187143288,-0.17550901
20110905,-0.81547619,1,0,-2.336744392,-1.366147043,0,-0.719063189
20110906,-0.475364745,1,-2.203932574,-3.579911679,-1.108202547,-2.52819381,-0.53148286
20110907,0.31297514,1,-0.898199526,1.063383622,1.542150139,-0.743628987,0.421651128
20110908,0.283921829,1,2.47376895,3.136610793,1.139169299,2.864646364,0.312859465
